Product name,Price,No of ratings,Links
"Stuffcool Mega II Compact 10,000mAh 30W PD, 33W PPS Powerbank with Samsung Super Fast Charging, Charges iPhones & Pixels 50% in 30 Mins, Universal Fast Charging for Oppo, OnePlus, Realme - Green","1,599",28,https://www.amazon.in/Stuffcool-Mega-II-Powerbank-Universal/dp/B0DDTLS4R3/ref=sr_1_155?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-155
"pTron Newly Launched Dynamo Vortex 10000mAh 22.5W Fast Charging Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 2 Outputs, 1 Input & Multiple Layers of Protection (Blue)",899,"1,703",https://www.amazon.in/pTron-Dynamo-10000mAh-Charging-Protection/dp/B0CTHYRZKM/ref=sr_1_156?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-156
"FLiX(Beetel) UltraCharge 20,000mAh QCPD Power Bank,USB C/B Input,Tripple Output 22.5W High-Speed Power Delivery,Compatible to iPhone 14 13 12 11 Samsung S22 S23 Google Pixel7 Oneplus (P25-Black)","1,199","2,901",https://www.amazon.in/FLiX-Launched-UltraCharge-High-Speed-Compatible/dp/B0C8D2G2H4/ref=sr_1_157?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-157
URBN 10000 mAh Li-Polymer Ultra Compact Power Bank | 12W Fast Charge | Dual USB Output | Type C & Micro Input Only | Pocket Size | Made in India (Bright Blue),999,"42,419",https://www.amazon.in/URBN-Li-Polymer-Compact-Charge-Bright/dp/B08HDYQN4W/ref=sr_1_158?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-158
"AmazonBasics 10000mAH Lithium Polymer Power Bank | 3 Charging Cables Included | Four Way Output (Micro USB, Type C, iPhone Cables and 1 USB Port), Dual Input (Type C, Micro USB) | Black",949,"3,102",https://www.amazon.in/10000mAH-Lithium-Polymer-Charging-Included/dp/B09X5SPFZ2/ref=sr_1_159?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-159
"Stuffcool Snap 5000mAh Super Compact Type C Power Bank with 20W PD PPS Output, Charges iPhone 15, Pixel 6/7 50% in 30 mins, Compatible with Samsung Type C Phones, Tablets","1,099",206,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzYyMzQ1MjkyOTYwMjUxOjE3MzEwNTg1MzM6c3BfbXRmX2Jyb3dzZTozMDAwNTg0MjA4NjMxMzI6OjA6Og&url=%2FStuffcool-5000mAh-Compact-Charges-Compatible%2Fdp%2FB0C9ZVD1MM%2Fref%3Dsr_1_160_sspa%3Fdib%3DeyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4%26dib_tag%3Dse%26qid%3D1731058533%26s%3Delectronics%26sr%3D1-160-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
"Belkin 10000 mAh PD 3.0 Slim Fast Charging Power Bank with 1 USB-C and 2 USB-A Ports to Charge 3 Devices Simultaneously, for iPhones, Android Phones, Smart Watches & More - Rose Gold","1,489","4,525",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzYyMzQ1MjkyOTYwMjUxOjE3MzEwNTg1MzM6c3BfbXRmX2Jyb3dzZTozMDAzMzgxNzcyNTYyMzI6OjA6Og&url=%2FBelkin-Charges-Devices-simultaneously-Samsung%2Fdp%2FB0928LVPNW%2Fref%3Dsr_1_161_sspa%3Fdib%3DeyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4%26dib_tag%3Dse%26qid%3D1731058533%26s%3Delectronics%26sr%3D1-161-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Black)",999,"31,469",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzYyMzQ1MjkyOTYwMjUxOjE3MzEwNTg1MzM6c3BfbXRmX2Jyb3dzZTozMDAxNjY3MjExNDYzMzI6OjA6Og&url=%2FAmbrane-10000mAh-Powerbank-Stylo-10%2Fdp%2FB0CVRXDBFN%2Fref%3Dsr_1_162_sspa%3Fdib%3DeyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4%26dib_tag%3Dse%26qid%3D1731058533%26s%3Delectronics%26sr%3D1-162-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1
"URBN 10000 mAh Ultra Compact 22.5W Super Fast Charging Pocket Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Blue)","1,299","16,154",https://www.amazon.in/URBN-10000-22-5W-Charging-Output/dp/B08JVY8LGG/ref=sr_1_163?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-163
"Stuffcool Lucid Plus 15W Magnetic Wireless Powerbank with Stand for AirPods Pro, iPhone 12/13/14/15/16, Flagship Android and 20W Fast Wired Charging","3,499",18,https://www.amazon.in/Stuffcool-Lucid-Plus-Magnetic-Powerbank/dp/B0DDTLRDJQ/ref=sr_1_164?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-164
