Product name,Price,No of ratings,Links
"URBN 20000 mAh 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Blue)","1,299","1,537",https://www.amazon.in/URBN-Charging-Compact-Delivery-Included/dp/B0CWP4BPWS/ref=sr_1_165?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-165
"Redmi Lithiumpolymer 10000 Mah Fast Charging Slim Power Bank (Black, 10W Fast Charging, Dual Ports)","1,199","12,615",https://www.amazon.in/Redmi-10000-Charging-Power-Black/dp/B0851WMSDS/ref=sr_1_166?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-166
"Ambrane 50000mAh Powerbank, 20W Fast Charging, Triple Output (2 USB & 1 Type C), PD, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo Max 50k, Black)","4,499","1,623",https://www.amazon.in/Ambrane-50000mAh-Powerbank-Stylo-Max/dp/B0D7C2WTCK/ref=sr_1_167?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-167
"Belkin 10000 mAh PD 3.0 Slim Fast Charging Power Bank with 1 USB-C and 2 USB-A Ports to Charge 3 Devices Simultaneously, for iPhones, Android Phones, Smart Watches & More - Rose Gold","1,489","4,525",https://www.amazon.in/Belkin-Charges-Devices-simultaneously-Samsung/dp/B0928LVPNW/ref=sr_1_168?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-168
"Lifelong ZenCharge 10000 mAh 22.5 W Compact Pocket Size Power Bank with 6 Input/Output Port (Peach, Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds, Speaker, Tablet)","1,499",72,https://www.amazon.in/Lifelong-ZenCharge-Compact-Charging-Smartwatch/dp/B0DB5F12XM/ref=sr_1_169?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-169
"Anker Magnetic Wireless Power Bank 10,000mAh with Stand, Supports 20W Fast Charging with USB-C, Magsafe-Compatible for iPhone 12/13/14/15/15 Plus/15 Pro/15 Pro Max & Android Smartphone - Black","3,199",25,https://www.amazon.in/Anker-Magnetic-Wireless-Magsafe-compatible-Smartphone/dp/B0CPBTW335/ref=sr_1_170?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-170
Amazon Basics 20000mAh 22.5W Power Bank Black,"1,349","3,517",https://www.amazon.in/Amazon-20000mAh-Lithium-Polymer-Charging-Included/dp/B0C37KY7LH/ref=sr_1_171?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-171
"Ambrane MagSafe Wireless 10000mAh Fast Charging Power Bank, Premium Metallic Body, Strong Magnet, 20W Output for iPhone 12 & Above, Android & Other Qi Enabled Devices (Aerosync PB Prime, Titanium)","2,499",216,https://www.amazon.in/Ambrane-Wireless-10000mAh-PB-Prime/dp/B0D2KFXJMS/ref=sr_1_172?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-172
"FLiX (Beetel) UltraCharge XPB-P45 20,000mAh 45W QC Power Delivery PPS Power Bank, in-Built Type C & Lightning USB Fast Charging Cables, LED for Charging Percentage with Amp and Volt Display (Blue)","1,990",31,https://www.amazon.in/FLiX-UltraCharge-XPB-P45-Lightning-Percentage/dp/B0DFLXWNZH/ref=sr_1_173?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-173
"ZEBRONICS MB10000S6 (V1) Power Bank, 10000 mAh, 12W, 5 x Outputs - Dual USB A | Type C | Micro USB | Lightning, Built in I/O Cables, Percentage Display, Carry Loop, Made in India (Lavender)",638,450,https://www.amazon.in/ZEBRONICS-MB10000S6-Power-10000-Outputs/dp/B0D2Y4375T/ref=sr_1_174?dib=eyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4&dib_tag=se&qid=1731058533&s=electronics&sr=1-174
"Stuffcool Mega 10000mAh 30W PD Super Compact Powerbank with Samsung Super Fast Charging, Charges iPhones, Pixels 50% in 30 mins","1,899",304,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzYyMzQ1MjkyOTYwMjUxOjE3MzEwNTg1MzM6c3BfYnRmX2Jyb3dzZTozMDAwMTIzNDYwMzQ4MzI6OjA6Og&url=%2FStuffcool-Mega-10000mAh-Powerbank-Charging%2Fdp%2FB0C74765P5%2Fref%3Dsr_1_175_sspa%3Fdib%3DeyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4%26dib_tag%3Dse%26qid%3D1731058533%26s%3Delectronics%26sr%3D1-175-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1
"Portronics Boosty 10K 10000mAh 15W Wireless Magnetic Fast Charging Slimmest Powerbank, Metallic Finish, 20W Type C PD Output, Light Weight, Compatible with iPhone 12 Above, Other Qi Enabled Devices","2,498",29,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzYyMzQ1MjkyOTYwMjUxOjE3MzEwNTg1MzM6c3BfYnRmX2Jyb3dzZTozMDAzNzA3NjMzNzI2MzI6OjA6Og&url=%2FPortronics-10000mAh-Wireless-Powerbank-Compatible%2Fdp%2FB0DH4YG1XY%2Fref%3Dsr_1_176_sspa%3Fdib%3DeyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4%26dib_tag%3Dse%26qid%3D1731058533%26s%3Delectronics%26sr%3D1-176-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1
"pTron Dynamo Surge 20000mAh 22.5W Fast Charging Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 1 Input & Multiple Layers of Protection (Black)","1,399",539,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzYyMzQ1MjkyOTYwMjUxOjE3MzEwNTg1MzM6c3BfYnRmX2Jyb3dzZTozMDAxNzA2NTQ0OTIxMzI6OjA6Og&url=%2FpTron-Dynamo-20000mAh-Charging-Protection%2Fdp%2FB0CZ4D7PZN%2Fref%3Dsr_1_177_sspa%3Fdib%3DeyJ2IjoiMSJ9.afwcBw9vT6y5-unsrGOGIIIO2zzqiFdUobW3hBwJkMIFcWy4b9l8RPRGPTfjTH1zy4RhVp_428cG1nbTB3fS4qHsRNtccVAyB9ckDj4Ut7PAhr7zrjAaHb83YPF_Z91a6lA08UFWRlsGpMkdI8YSoU3QN9WpLXTI81ZeHH38owPj8Bl8oq8lvmiUY6vctESzLXg4g3TVo6CQ8jjOWptwCY2e3kd8xxI_AW2DcbP25a2gqB1R3yUuOJqNfAQg8AjXjD3CsOsu06J81E8sStpnUuktu0ZYDQz1VbK8vqZbxKY.vlLdXpg705b-Km1PbbNNt5rRDitauxpNeLvou5Runs4%26dib_tag%3Dse%26qid%3D1731058533%26s%3Delectronics%26sr%3D1-177-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1
